,Betreuungsbezirk Nr,Betreuungsbezirk,Einrichtungsnummer,Einrichtungsname,Einrichtungsadresse,PLZ,Telefon,Plätze,Einrichtungsart,Trägernummer,Trägername,Trägerart,FullAddress,Unnamed: 0,long,lat
304,01,Mitte,1031900,Kita Piya,Barfusstr. 013,13349,45082694,25.0,Kindertagesstätte,4908.0,Verein der Eltern aus Kurdistan in Deutschland e.V. (Yekmal),Sonstiger freier Träger,Barfusstr. 013 13349 Berlin,295,13.3465536,52.555726
305,01,Mitte,1031910,Kindertagesstätte Paul-Gerhardt-Stift zu Berlin,Müllerstr. 056-58,13349,45005119,40.0,Kindertagesstätte,9131.0,Paul Gerhardt Stift Soziales gGmbH,Sonstiger freier Träger,Müllerstr. 056-58 13349 Berlin,296,13.3455511,52.554188
306,01,Mitte,1031920,Kita Kardelen,Lüderitzstr. 003,13351,49088582,25.0,Kindertagesstätte,8392.0,Kardelen gGmbH,Sonstiger freier Träger,Lüderitzstr. 003 13351 Berlin,297,13.3497748,52.5494912
307,01,Mitte,1031930,Kita Alina und Arif,Sparrstr. 003A,13353,0157 37689421,25.0,Kindertagesstätte,8129.0,"""KITA Arif & Alina"" gUG (haftungsbeschränkt)",Sonstiger freier Träger,Sparrstr. 003A 13353 Berlin,298,13.3613941,52.54167940000001
308,01,Mitte,1031940,Kleiner Fratz,Prinz-Eugen-Str. 008,13347,017631099893,35.0,Kindertagesstätte,627.0,Kleiner Fratz GmbH,Sonstiger freier Träger,Prinz-Eugen-Str. 008 13347 Berlin,299,13.3649828,52.5475949
309,01,Mitte,1031960,Kita KIKADO,Demminer Str. 005,13355,23924097,63.0,Kindertagesstätte,7707.0,BGFF - Berliner Gesellschaft für Förderung interkultureller Bildung und Erziehung e. V.,Sonstiger freier Träger,Demminer Str. 005 13355 Berlin,300,13.3945309,52.5433351
310,01,Mitte,1031980,Kita Knirpsmaus,Kongostr. 046,13351,45082126,41.0,Kindertagesstätte,8235.0,Trägerwerk Soziale Dienste in Berlin und Brandenburg gGmbH (TWSD in BB gGmbH),Sonstiger freier Träger,Kongostr. 046 13351 Berlin,301,13.345787,52.5522042
311,01,Mitte,1031990,Kita Piratenkids,Otawistr. 027,13351,55526507,66.0,Kindertagesstätte,8469.0,Piratenkids gemeinnützige GmbH,Sonstiger freier Träger,Otawistr. 027 13351 Berlin,302,13.3387194,52.5533251
312,01,Mitte,1032000,Kita Paradiesvögel,Sparrstr. 025,13353,030 41997441,21.0,Kindertagesstätte,7464.0,EVENTUS-BILDUNG e.V.,Sonstiger freier Träger,Sparrstr. 025 13353 Berlin,303,13.3602409,52.54162609999999
313,01,Mitte,1032010,Kindertagesstätte Schlösschen-Mitte,Reinickendorfer Str. 099,13347,92353514,45.0,Kindertagesstätte,8388.0,LifExperience gemeinnützige Gesellschaft für Bildung Erziehung und Betreuung mbH,Sonstiger freier Träger,Reinickendorfer Str. 099 13347 Berlin,304,13.3691903,52.5470126
314,01,Mitte,1032020,Kita Plapperfrosch,Edinburger Str. 013,13349,55247740,25.0,Kindertagesstätte,8309.0,Wunderkinder gGmbH,Sonstiger freier Träger,Edinburger Str. 013 13349 Berlin,305,13.3513935,52.5542665
315,01,Mitte,1032030,Kleiner Fratz,Adolfstr. 021,13347,017631099893,19.0,Kindertagesstätte,627.0,Kleiner Fratz GmbH,Sonstiger freier Träger,Adolfstr. 021 13347 Berlin,306,13.3667184,52.5479479
316,01,Mitte,1032040,Kindertagesstätte Paradiesvögel die Elstern,Schönwalder Str. 017,13347,46062745,50.0,Kindertagesstätte,7464.0,EVENTUS-BILDUNG e.V.,Sonstiger freier Träger,Schönwalder Str. 017 13347 Berlin,307,13.3700299,52.5418202
317,01,Mitte,1032050,Kita Ringelblume,Reinickendorfer Str. 032,13347,55595073‬,64.0,Kindertagesstätte,8589.0,Forum für Bildung und Erziehung (FBE) gGmbH,Sonstiger freier Träger,Reinickendorfer Str. 032 13347 Berlin,308,13.3692872,52.5475171
318,01,Mitte,1032060,Kita Moritz (Kita III),Brunnenstr. 085,13355,80961895,30.0,Kindertagesstätte,8291.0,Hauptstadtkinder gGmbH,Sonstiger freier Träger,Brunnenstr. 085 13355 Berlin,309,13.3915845,52.5440871
319,01,Mitte,1032060,Kita Moritz (Kita III),Brunnenstr. 085,13355,80961895,30.0,Kindertagesstätte,8291.0,Hauptstadtkinder gGmbH,Sonstiger freier Träger,Brunnenstr. 085 13355 Berlin,310,13.3915845,52.5440871
320,01,Mitte,1032070,Kita Max (Kita II),Brunnenstr. 085,13355,22494984,40.0,Kindertagesstätte,8291.0,Hauptstadtkinder gGmbH,Sonstiger freier Träger,Brunnenstr. 085 13355 Berlin,309,13.3915845,52.5440871
321,01,Mitte,1032070,Kita Max (Kita II),Brunnenstr. 085,13355,22494984,40.0,Kindertagesstätte,8291.0,Hauptstadtkinder gGmbH,Sonstiger freier Träger,Brunnenstr. 085 13355 Berlin,310,13.3915845,52.5440871
322,01,Mitte,1032080,Kita Lazarus Haus Berlin,Bernauer Str. 115- 118,13355,46705120,64.0,Kindertagesstätte,8598.0,Stiftung Bethel - Hoffnungstaler Stiftung Lobetal,Diakonisches Werk,Bernauer Str. 115- 118 13355 Berlin,311,13.3887469,52.5349157
323,01,Mitte,1032090,Kita Kleine Kapitäne,Wriezener Str. 039,13359,23931142,25.0,Kindertagesstätte,8599.0,Kita Kleine Kapitäne gGmbH,Sonstiger freier Träger,Wriezener Str. 039 13359 Berlin,312,13.3884828,52.5565383
324,01,Mitte,1032100,Kita Umpa Lumpa,Reinickendorfer Str. 063,13347,55 23 59 37,25.0,Kindertagesstätte,8632.0,Umpa Lumpa Internationaler Kinderladen gemeinnützige GmbH,Sonstiger freier Träger,Reinickendorfer Str. 063 13347 Berlin,313,13.3660899,52.55385260000001
325,01,Mitte,1032110,Kita Engelsnest,Kameruner Str. 055,13351,60590438,25.0,Kindertagesstätte,8360.0,Liberi Bildung gemeinnützige GmbH,Sonstiger freier Träger,Kameruner Str. 055 13351 Berlin,314,13.3489389,52.55187369999999
326,01,Mitte,1032120,Smile Kindergarten,Dubliner Str. 008,13349,030 680 511 33,25.0,Kindertagesstätte,8668.0,Smile Kindergärten gemeinnützige GmbH,Sonstiger freier Träger,Dubliner Str. 008 13349 Berlin,315,13.3423581,52.5574609
327,01,Mitte,1032130,Kita Freche Früchte,Transvaalstr. 046,13351,0176 27842105,19.0,Kindertagesstätte,8683.0,KiTa Freche Früchte gemeinnützige UG (haftungsbeschränkt),Sonstiger freier Träger,Transvaalstr. 046 13351 Berlin,316,13.344709,52.5540295
328,01,Mitte,1032150,Kindertagesstätte Tipi,Prinz-Eugen-Str. 016,13347,40746020,20.0,Kindertagesstätte,7859.0,MiniKitas First gGmbH,Sonstiger freier Träger,Prinz-Eugen-Str. 016 13347 Berlin,317,13.363622,52.5484527
329,01,Mitte,1032160,Kita Antwerpener Straße 40,Antwerpener Str. 040,13353,491022491,103.0,Kindertagesstätte,8560.0,Soziale Dienste Bürgermeister Reuter gGmbH,Sonstiger freier Träger,Antwerpener Str. 040 13353 Berlin,318,13.3515052,52.5468007
330,01,Mitte,1032170,Kita Osloer Zwerge,Osloer Str. 124,13359,24032367,23.0,Kindertagesstätte,8700.0,Brunnenkids gGmbH,Sonstiger freier Träger,Osloer Str. 124 13359 Berlin,319,13.3897832,52.5551207
331,01,Mitte,1032180,Johemi Kita Müllerstraße,Müllerstr. 061,13349,0178 3529154,25.0,Kindertagesstätte,8724.0,Johemi Kindertagesstätten gGmbH,Sonstiger freier Träger,Müllerstr. 061 13349 Berlin,320,13.3434157,52.555375
332,01,Mitte,1032200,Kita Kinderburg,Badstr. 057/58,13357,40748055,60.0,Kindertagesstätte,8740.0,Kinderburg gemeinnützige GmbH,Sonstiger freier Träger,Badstr. 057/58 13357 Berlin,321,13.382604,52.5517237
333,01,Mitte,1032210,Kita am Mauerpark,Lichtburgring 011,13355,42025929,78.0,Kindertagesstätte,8478.0,Step Kids Kitas gemeinnützige GmbH,Sonstiger freier Träger,Lichtburgring 011 13355 Berlin,322,13.3988215,52.5473136
334,01,Mitte,1032230,Kita Seestern,Genter Str. 074,13353,25097971,23.0,Kindertagesstätte,8291.0,Hauptstadtkinder gGmbH,Sonstiger freier Träger,Genter Str. 074 13353 Berlin,324,13.3509019,52.5496536
335,01,Mitte,1032240,Kita Johemi,Barfusstr. 014,13349,0178 6520717,13.0,Kindertagesstätte,8724.0,Johemi Kindertagesstätten gGmbH,Sonstiger freier Träger,Barfusstr. 014 13349 Berlin,325,13.3474177,52.5555432
336,01,Mitte,1032250,Johemi Kita Müllerstraße,Müllerstr. 064,13349,0178 668 233 3,25.0,Kindertagesstätte,8724.0,Johemi Kindertagesstätten gGmbH,Sonstiger freier Träger,Müllerstr. 064 13349 Berlin,326,13.3425078,52.55588940000001
337,01,Mitte,1032270,Kita Sari,Transvaalstr. 043,13351,0151/10610550,25.0,Kindertagesstätte,8851.0,Kita Sari gUG,Sonstiger freier Träger,Transvaalstr. 043 13351 Berlin,327,13.3440711,52.553607
338,01,Mitte,1032280,Bezirksamt Mitte von Berlin (nur Sprachförderung),Badstr. 010,13357,4039492248,24.0,Kindertagesstätte,8000.0,SOCIUS - Die Bildungspartner gemeinnützige GmbH,Sonstiger freier Träger,Badstr. 010 13357 Berlin,328,13.3855851,52.55013779999999
339,01,Mitte,1032290,AWO Kita Pinocchio,Iranische Str. 006,13347,32528776,50.0,Kindertagesstätte,150.0,Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.,Arbeiterwohlfahrt,Iranische Str. 006 13347 Berlin,329,13.3664137,52.5549711
340,01,Mitte,1032300,Kita Plapperschildkröte,Müllerstr. 077-78,13349,26075603,60.0,Kindertagesstätte,8309.0,Wunderkinder gGmbH,Sonstiger freier Träger,Müllerstr. 077-78 13349 Berlin,330,13.336915,52.5590594
341,01,Mitte,1032310,Gipfelstürmer,Triftstr. 067,13353,491022492,180.0,Kindertagesstätte,8560.0,Soziale Dienste Bürgermeister Reuter gGmbH,Sonstiger freier Träger,Triftstr. 067 13353 Berlin,331,13.3588653,52.5438894
342,01,Mitte,1032330,Arif und Alina III,Lynarstr. 039,13353,015257389192,33.0,Kindertagesstätte,8129.0,"""KITA Arif & Alina"" gUG (haftungsbeschränkt)",Sonstiger freier Träger,Lynarstr. 039 13353 Berlin,332,13.3621532,52.5411177
343,01,Mitte,1032340,Kita Kleine Wölkchen,Soldiner Str. 031,13359,49201764,46.0,Kindertagesstätte,7518.0,Märchenreise e. V.,Elterninitiativ-Kinderladen,Soldiner Str. 031 13359 Berlin,333,13.3846176,52.5591531
344,01,Mitte,1032350,Brüder Grimm Grundschule (nur Sprachförderung),Tegeler Str. 018-19,13353,45 30 84 22,16.0,Kindertagesstätte,8000.0,SOCIUS - Die Bildungspartner gemeinnützige GmbH,Sonstiger freier Träger,Tegeler Str. 018-19 13353 Berlin,334,13.3578141,52.5414735
345,01,Mitte,1032360,EKT Pankonauten,Ravenéstr. 010,13347,030,18.0,Eltern-Initiativ-Kindertagesstätte,8958.0,Pankonauten e.V.,Sonstiger freier Träger,Ravenéstr. 010 13347 Berlin,335,13.3727575,52.5430346
346,01,Mitte,1032370,Kita Putti,Putbusser Str. 030/31,13355,22495938,25.0,Kindertagesstätte,8291.0,Hauptstadtkinder gGmbH,Sonstiger freier Träger,Putbusser Str. 030/31 13355 Berlin,336,13.3918641,52.5468075
347,01,Mitte,1032390,Kita Kindererde Prinzenallee,Prinzenallee 058,13359,50958890,36.0,Kindertagesstätte,8141.0,Kindererde gemeinnützige GmbH,Sonstiger freier Träger,Prinzenallee 058 13359 Berlin,337,13.385669,52.5579625
348,01,Mitte,1032390,Kita Kindererde Prinzenallee,Prinzenallee 058,13359,50958890,36.0,Kindertagesstätte,8141.0,Kindererde gemeinnützige GmbH,Sonstiger freier Träger,Prinzenallee 058 13359 Berlin,357,13.385669,52.5579625
349,01,Mitte,1032610,Heilpäd. Gruppe Kita Kindererde Prinzenallee,Prinzenallee 058,13359,50958890,4.0,Kindertagesstätte,8141.0,Kindererde gemeinnützige GmbH,Sonstiger freier Träger,Prinzenallee 058 13359 Berlin,337,13.385669,52.5579625
350,01,Mitte,1032610,Heilpäd. Gruppe Kita Kindererde Prinzenallee,Prinzenallee 058,13359,50958890,4.0,Kindertagesstätte,8141.0,Kindererde gemeinnützige GmbH,Sonstiger freier Träger,Prinzenallee 058 13359 Berlin,357,13.385669,52.5579625
351,01,Mitte,1032400,Freche Früchte,Brüsseler Str. 045,13353,58595533,16.0,Kindertagesstätte,8683.0,KiTa Freche Früchte gemeinnützige UG (haftungsbeschränkt),Sonstiger freier Träger,Brüsseler Str. 045 13353 Berlin,338,13.3513392,52.5476857
352,01,Mitte,1032420,Naturkindergarten Wedding e.V.,Dohnagestell 008,13351,015142061173,15.0,Kindertagesstätte,9030.0,Naturkindergarten Wedding e.V.,Sonstiger freier Träger,Dohnagestell 008 13351 Berlin,339,13.3330966,52.5451503
353,01,Mitte,1032430,Spielraum Reinickenufer,Reinickendorfer Str. 004,13347,88708440,30.0,Kindertagesstätte,8130.0,GenerationenRaum gemeinnützige Gesellschaft zur Förderung generationsübergreifender Interaktion mbH,Sonstiger freier Träger,Reinickendorfer Str. 004 13347 Berlin,340,13.370171,52.54081009999999
354,01,Mitte,1032440,Kita Siebenschön,Zechliner Str. 001,13359,43200922,23.0,Kindertagesstätte,8291.0,Hauptstadtkinder gGmbH,Sonstiger freier Träger,Zechliner Str. 001 13359 Berlin,341,13.3817916,52.5615678
355,01,Mitte,1032450,Kita an der Beuth Hochschule für Technik,Lütticher Str. 039,13353,939398490,130.0,Kindertagesstätte,1256.0,studierendenWERK BERLIN,Sonstiger freier Träger,Lütticher Str. 039 13353 Berlin,342,13.3501153,52.5450376
357,01,Mitte,1032480,Ellerbeker Str. 7-8 (nur Sprachförderung),Ellerbeker Str. 007-8,13357,206315-0,15.0,Kindertagesstätte,8575.0,casa bambini - Gesellschaft zur Förderung und Begleitung von Kindesentwicklung mbH,Sonstiger freier Träger,Ellerbeker Str. 007-8 13357 Berlin,344,13.395507,52.5515744
358,01,Mitte,1032490,Kita Piccoli Artisti,Eulerstr. 021,13357,030-22327374,21.0,Kindertagesstätte,1367.0,Ki.E.Ka. e.V.,Sonstiger freier Träger,Eulerstr. 021 13357 Berlin,345,13.3896463,52.5527798
359,01,Mitte,1032500,Kita Kindererde Afrikanische Straße,Afrikanische Str. 043,13351,45964041,25.0,Kindertagesstätte,8141.0,Kindererde gemeinnützige GmbH,Sonstiger freier Träger,Afrikanische Str. 043 13351 Berlin,346,13.3390031,52.5504143
360,01,Mitte,1032510,El Mundo de los Ninos,Hussitenstr. 004-5,13355,83108824,20.0,Kindertagesstätte,7502.0,El mundo de los ninos e. V.,Sonstiger freier Träger,Hussitenstr. 004-5 13355 Berlin,347,13.3902414,52.5366839
361,01,Mitte,1032520,Kita Bäumchen,Brüsseler Str. 037,13353,54646884,21.0,Kindertagesstätte,1163.0,Bäumchen e. V.,Elterninitiativ-Kinderladen,Brüsseler Str. 037 13353 Berlin,348,13.3487117,52.5462588
362,01,Mitte,1032530,Kita Nachtigall,Wollankstr. 039,13359,24354118,127.0,Kindertagesstätte,7464.0,EVENTUS-BILDUNG e.V.,Sonstiger freier Träger,Wollankstr. 039 13359 Berlin,349,13.3899243,52.5629764
363,01,Mitte,1032540,FREUDE Kita Wedding,Soldiner Str. 044,13359,30207100,25.0,Kindertagesstätte,8878.0,FREUDE Kindergärten Süd-Ost gGmbH,Sonstiger freier Träger,Soldiner Str. 044 13359 Berlin,350,13.3807299,52.56022429999999
364,01,Mitte,1032550,Kita Abendteuerland,Cornelius-Fredericks-Str. 005,13351,62857899,20.0,Kindertagesstätte,8854.0,G.E.B. Gesellschaft für Erziehung und Bildung UG,Sonstiger freier Träger,Cornelius-Fredericks-Str. 005 13351 Berlin,351,13.3497545,52.5495027
365,01,Mitte,1032560,Wedding-Schule (nur Sprachförderung),Antonstr. 010,13347,901844249,15.0,Kindertagesstätte,1335.0,tandem BTL gGmbH,Sonstiger freier Träger,Antonstr. 010 13347 Berlin,352,13.3638795,52.5468148
366,01,Mitte,1032570,Kita Bienchen,Reinickendorfer Str. 081,13347,98452133,32.0,Kindertagesstätte,8645.0,Vielfalt auf Augenhöhe gGmbH,Sonstiger freier Träger,Reinickendorfer Str. 081 13347 Berlin,353,13.3680981,52.5501348
367,01,Mitte,1032580,Hinterhof-Bären,Genter Str. 063,13353,08538568,18.0,Kindertagesstätte,676.0,EIKITA Hinterhof-Tiger e.V.,Elterninitiativ-Kinderladen,Genter Str. 063 13353 Berlin,354,13.3513079,52.548491
368,01,Mitte,1032590,Kenntnisreich Badstraße,Badstr. 033,13357,2249 4933,40.0,Kindertagesstätte,8259.0,Kenntnisreich Kindertagesstätten gGmbH,Sonstiger freier Träger,Badstr. 033 13357 Berlin,355,13.3799745,52.5528805
369,01,Mitte,1032600,Kita Kleine Waschbären,Martin-Opitz-Str. 023,13357,017643499856,19.0,Kindertagesstätte,9132.0,Baysal - Orte für frühkindliche Bildung gUG,Sonstiger freier Träger,Martin-Opitz-Str. 023 13357 Berlin,356,13.3727746,52.55099260000001
370,02,Friedrichshain-Kreuzberg,2050010,Kita Spiel- und Erlebniswelt,Andreasstr. 037,10243,29381046,248.0,Kindertagesstätte,1296.0,Jugend- und Sozialwerk gGmbH,Sonstiger freier Träger,Andreasstr. 037 10243 Berlin,358,13.4340088,52.5166724
371,02,Friedrichshain-Kreuzberg,2050020,FRÖBEL Kindergarten Kleine Füße-Naseweis,Auerstr. 013-17,10249,030 32660425,230.0,Kindertagesstätte,1227.0,Fröbel Bildung und Erziehung gGmbH,Sonstiger freier Träger,Auerstr. 013-17 10249 Berlin,359,13.4439107,52.51925970000001
372,02,Friedrichshain-Kreuzberg,2050040,Kita Bänschstr. 76/78/Kigä City,Bänschstr. 078,10247,426 93 12,225.0,Kindertagesstätte,120.0,Kindergärten City,Eigenbetrieb,Bänschstr. 078 10247 Berlin,360,13.4697694,52.5171432
373,02,Friedrichshain-Kreuzberg,2050090,Kita Menschenskinder am Friedrichshain,Landsberger Allee 050-52,10249,235999610,40.0,Kindertagesstätte,7664.0,menschenskinder-berlin gGmbH,Sonstiger freier Träger,Landsberger Allee 050-52 10249 Berlin,361,13.4420835,52.5243139
374,02,Friedrichshain-Kreuzberg,2050120,Kita Colbestr.9 - 13,Colbestr. 009,10247,20050926,85.0,Kindertagesstätte,7659.0,oXxymoron GmbH,Sonstiger freier Träger,Colbestr. 009 10247 Berlin,362,13.4644275,52.5135825
375,02,Friedrichshain-Kreuzberg,2050150,Kita Menschenskinder,Fürstenwalder Str. 030,10243,235999610,120.0,Kindertagesstätte,7664.0,menschenskinder-berlin gGmbH,Sonstiger freier Träger,Fürstenwalder Str. 030 10243 Berlin,363,13.4313804,52.5188177
376,02,Friedrichshain-Kreuzberg,2050160,Kita Gryphiusstr. 34-35,Gryphiusstr. 034 - 35,10245,2910547,240.0,Kindertagesstätte,120.0,Kindergärten City,Eigenbetrieb,Gryphiusstr. 034 - 35 10245 Berlin,364,13.4622099,52.5071394
377,02,Friedrichshain-Kreuzberg,2050170,EKT - SOL,Dirschauer Str. 013,10245,2904 9648,20.0,Eltern-Initiativ-Kindertagesstätte,1145.0,Kinderladen Sol e. V.,Elterninitiativ-Kinderladen,Dirschauer Str. 013 10245 Berlin,365,13.4568476,52.5082276
378,02,Friedrichshain-Kreuzberg,2050180,Kita Entdeckerland,Hildegard-Jadamowitz-Str. 001,10243,29666850,175.0,Kindertagesstätte,1205.0,BIK e.V. Berliner Institut für Kleinkindpädagogik und familienbegleitende Kinderbetreuung,Sonstiger freier Träger,Hildegard-Jadamowitz-Str. 001 10243 Berlin,366,13.4418037,52.5154667
379,02,Friedrichshain-Kreuzberg,2050210,EKT - Pipilota,Ebertystr. 043,10249,4280 9879,36.0,Eltern-Initiativ-Kindertagesstätte,1166.0,PIPILOTA e. V.,Elterninitiativ-Kinderladen,Ebertystr. 043 10249 Berlin,367,13.4526091,52.5245772
380,02,Friedrichshain-Kreuzberg,2050240,Kita Kinzigstr. 32/34/Kigä City,Kinzigstr. 032,10247,2911562,140.0,Kindertagesstätte,120.0,Kindergärten City,Eigenbetrieb,Kinzigstr. 032 10247 Berlin,368,13.4648531,52.51230229999999
381,02,Friedrichshain-Kreuzberg,2050260,EKT - pinepako,Straßmannstr. 028,10249,030 615 25 79,19.0,Eltern-Initiativ-Kindertagesstätte,861.0,pinepako e.V.,Elterninitiativ-Kinderladen,Straßmannstr. 028 10249 Berlin,369,13.4517241,52.5223646
382,02,Friedrichshain-Kreuzberg,2050280,Kinderladen Buana,Schreinerstr. 019,10247,42081080,20.0,Eltern-Initiativ-Kindertagesstätte,1180.0,Buana e.V.,Elterninitiativ-Kinderladen,Schreinerstr. 019 10247 Berlin,370,13.4674319,52.5169653
383,02,Friedrichshain-Kreuzberg,2050300,Kita Till Eulenspiegel-Kette,Simon-Dach-Str. 024,10245,2005 3912,22.0,Kindertagesstätte,1259.0,"Eltern - Kinder - Schüler - Gruppe ""Till Eulenspiegel Kette"" e.V.",Sonstiger freier Träger,Simon-Dach-Str. 024 10245 Berlin,371,13.455112,52.5081006
384,02,Friedrichshain-Kreuzberg,2050320,EKT - Lieblingsplatz,Travestr. 003,10247,2068 7890,30.0,Eltern-Initiativ-Kindertagesstätte,1182.0,Kita Lieblingsplatz e. V.,Elterninitiativ-Kinderladen,Travestr. 003 10247 Berlin,372,13.4698373,52.5113795
385,02,Friedrichshain-Kreuzberg,2050330,Kita Tausendfüsschen,Liebigstr. 030,10247,4267875,179.0,Kindertagesstätte,156.0,Arbeiterwohlfahrt Kreisverband Berlin Spree-Wuhle e.V.,Arbeiterwohlfahrt,Liebigstr. 030 10247 Berlin,373,13.4572992,52.5186296
387,02,Friedrichshain-Kreuzberg,2050390,FRÖBEL Kindergarten FRÖBELSPATZEN,Palisadenstr. 030,10243,030 42026940,230.0,Kindertagesstätte,1227.0,Fröbel Bildung und Erziehung gGmbH,Sonstiger freier Träger,Palisadenstr. 030 10243 Berlin,375,13.4307955,52.520641
388,02,Friedrichshain-Kreuzberg,2050400,Kita Palisadenstr. 33/Kigä City,Palisadenstr. 033,10243,4265502,60.0,Kindertagesstätte,120.0,Kindergärten City,Eigenbetrieb,Palisadenstr. 033 10243 Berlin,376,13.4333253,52.5198591
389,02,Friedrichshain-Kreuzberg,2050420,Kita Am Rudolfplatz,Rudolfstr. 014B,10245,29663078,160.0,Kindertagesstätte,1298.0,Jugendwerk Aufbau Ost JAO gGmbH,Sonstiger freier Träger,Rudolfstr. 014B 10245 Berlin,377,13.454515,52.5036287
390,02,Friedrichshain-Kreuzberg,2050430,FRÖBEL Kindergarten Palmkernzeile,Palmkernzeile 008,10245,030 29669696,155.0,Kindertagesstätte,1227.0,Fröbel Bildung und Erziehung gGmbH,Sonstiger freier Träger,Palmkernzeile 008 10245 Berlin,378,13.474073,52.4954476
391,02,Friedrichshain-Kreuzberg,2050450,Kita Richard-Sorge-Str. 43 und 44 Haus Buddelflink und Gänseblümchen,Richard-Sorge-Str. 044,10249,25562629,130.0,Kindertagesstätte,1205.0,BIK e.V. Berliner Institut für Kleinkindpädagogik und familienbegleitende Kinderbetreuung,Sonstiger freier Träger,Richard-Sorge-Str. 044 10249 Berlin,379,13.4451966,52.5243131
392,02,Friedrichshain-Kreuzberg,2050460,FRÖBEL Kindergarten Am Ring,Rigaer Str. 053-54,10247,030/4261815,240.0,Kindertagesstätte,1227.0,Fröbel Bildung und Erziehung gGmbH,Sonstiger freier Träger,Rigaer Str. 053-54 10247 Berlin,380,13.4719023,52.5151708
393,02,Friedrichshain-Kreuzberg,2050470,EKT - Grüne Wolke,Straßmannstr. 036,10249,030 42022190,22.0,Eltern-Initiativ-Kindertagesstätte,1353.0,Grüne Wolke e. V.,Elterninitiativ-Kinderladen,Straßmannstr. 036 10249 Berlin,381,13.4527824,52.5226349
394,02,Friedrichshain-Kreuzberg,2050500,EKT- Friedrichshainer Mäuse,Kreutzigerstr. 024,10247,29309631,21.0,Eltern-Initiativ-Kindertagesstätte,1361.0,Friedrichshainer Mäuse e. V.,Elterninitiativ-Kinderladen,Kreutzigerstr. 024 10247 Berlin,382,13.4605102,52.5139042
395,02,Friedrichshain-Kreuzberg,2050510,Humanistische Kita Hopsekäse,Scharnweberstr. 060,10247,2916164,90.0,Kindertagesstätte,1230.0,"Humanistischer Verband Deutschlands, Landesverband Berlin-Brandenburg KdöR",Sonstiger freier Träger,Scharnweberstr. 060 10247 Berlin,383,13.4746971,52.5119371
396,02,Friedrichshain-Kreuzberg,2050560,Kita Kinderland,Simplonstr. 018,10245,2910614,226.0,Kindertagesstätte,1205.0,BIK e.V. Berliner Institut für Kleinkindpädagogik und familienbegleitende Kinderbetreuung,Sonstiger freier Träger,Simplonstr. 018 10245 Berlin,384,13.4589694,52.50819749999999
397,02,Friedrichshain-Kreuzberg,2050580,Krippe Playground,Gubener Str. 051,10243,030 – 54 71 94 22,15.0,Kindertagesstätte,1401.0,Playground gGmbH,Sonstiger freier Träger,Gubener Str. 051 10243 Berlin,385,13.4478637,52.51283489999999
398,02,Friedrichshain-Kreuzberg,2050590,KITA Die kleinen Entdecker,Strausberger Str. 049,10243,(030) 22502155,90.0,Kindertagesstätte,1355.0,Käpt'n Browser gemeinnützige Gesellschaft mit beschränkter Haftung,Sonstiger freier Träger,Strausberger Str. 049 10243 Berlin,386,13.432788,52.5222804
399,02,Friedrichshain-Kreuzberg,2050600,Kita Fredersdorfer Str. 6/Kigä City,Fredersdorfer Str. 006,10243,29770410,185.0,Kindertagesstätte,120.0,Kindergärten City,Eigenbetrieb,Fredersdorfer Str. 006 10243 Berlin,387,13.4418627,52.5140621
400,02,Friedrichshain-Kreuzberg,2050620,Kita Weidenkätzchen,Weidenweg 068,10247,4222428,87.0,Kindertagesstätte,156.0,Arbeiterwohlfahrt Kreisverband Berlin Spree-Wuhle e.V.,Arbeiterwohlfahrt,Weidenweg 068 10247 Berlin,388,13.4563562,52.5191556
401,02,Friedrichshain-Kreuzberg,2050630,Kita Wichtelbühne,Weidenweg 078,10247,41724851,165.0,Kindertagesstätte,156.0,Arbeiterwohlfahrt Kreisverband Berlin Spree-Wuhle e.V.,Arbeiterwohlfahrt,Weidenweg 078 10247 Berlin,389,13.4573732,52.519232
402,02,Friedrichshain-Kreuzberg,2050650,Kita der Ev. Kirchengem. Bartholomäus,Friedenstr. 001,10249,(030)247 89 23,32.0,Kindertagesstätte,257.0,Ev. Kirchengemeinde Bartholomäus,Diakonisches Werk,Friedenstr. 001 10249 Berlin,390,13.4251041,52.5278856
403,02,Friedrichshain-Kreuzberg,2050660,Ev. Kita Auferstehung,Diestelmeyerstr. 007,10249,429 19 86,50.0,Kindertagesstätte,5425.0,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Diakonisches Werk,Diestelmeyerstr. 007 10249 Berlin,391,13.440125,52.5216778
404,02,Friedrichshain-Kreuzberg,2050680,Ev. Kita Galiläa,Rigaer Str. 009,10247,422 59 44,70.0,Kindertagesstätte,5425.0,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Diakonisches Werk,Rigaer Str. 009 10247 Berlin,392,13.4561356,52.5179772
405,02,Friedrichshain-Kreuzberg,2050700,Ev. Kita Samariter,Samariterstr. 027,10247,41721932,32.0,Kindertagesstätte,5425.0,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Diakonisches Werk,Samariterstr. 027 10247 Berlin,393,13.4661931,52.5186273
